CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,CD_DIST,NM_DIST,POP_2022,AREA_KM2_CALCULADA,LAT,LON
1,Norte,11,Rondônia,1100015,Alta Floresta D'Oeste,110001505,Alta Floresta D'Oeste,16744,1641.6295969340044,-12.093830955846855,-62.00881682606923
1,Norte,11,Rondônia,1100015,Alta Floresta D'Oeste,110001515,Filadélfia d'Oeste,551,535.5495326541413,-12.384984678800668,-62.108107225927036
1,Norte,11,Rondônia,1100015,Alta Floresta D'Oeste,110001520,Izidolândia,532,1301.0010103359753,-12.610198583338878,-62.18514041703383
1,Norte,11,Rondônia,1100015,Alta Floresta D'Oeste,110001525,Nova Gease d'Oeste,1175,1113.8469217467903,-12.08731361290782,-62.467264206513775
1,Norte,11,Rondônia,1100015,Alta Floresta D'Oeste,110001530,Rolim de Moura do Guaporé,801,2250.653307248158,-12.86460086484387,-62.22050908228447
1,Norte,11,Rondônia,1100015,Alta Floresta D'Oeste,110001535,Santo Antônio d'Oeste,1691,295.22852579471845,-12.064536110104592,-62.120927245753485
1,Norte,11,Rondônia,1100023,Ariquemes,110002305,Ariquemes,96833,4479.012830866568,-9.966971201784176,-63.0622072458263
1,Norte,11,Rondônia,1100031,Cabixi,110003105,Cabixi,5351,1322.7497975375168,-13.502599213539906,-60.67681400902579
1,Norte,11,Rondônia,1100049,Cacoal,110004905,Cacoal,75267,1173.4310124153058,-11.454584133325685,-61.55186009938118
1,Norte,11,Rondônia,1100049,Cacoal,110004910,Riozinho,11350,2629.1781944226454,-11.271249010101439,-61.25092717427811
1,Norte,11,Rondônia,1100049,Cacoal,110004915,Divinópolis,270,20.422021246827725,-11.320459800815648,-61.186591172351626
1,Norte,11,Rondônia,1100056,Cerejeiras,110005605,Cerejeiras,15890,2804.6620241623204,-13.190590235990362,-61.20124804839208
1,Norte,11,Rondônia,1100064,Colorado do Oeste,110006405,Colorado do Oeste,15663,1460.1168658963936,-13.14004781614355,-60.53799613446379
1,Norte,11,Rondônia,1100072,Corumbiara,110007205,Corumbiara,7519,3082.753407807473,-12.878926486638482,-61.22291109770195
1,Norte,11,Rondônia,1100080,Costa Marques,110008005,Costa Marques,8979,2974.0676576945016,-12.24795753582667,-64.12680502574139
1,Norte,11,Rondônia,1100080,Costa Marques,110008015,Real Forte Príncipe da Beira,239,239.09873810965362,-12.378627730953273,-64.41529842692096
1,Norte,11,Rondônia,1100080,Costa Marques,110008035,São Domingos do Guaporé,3409,1847.9598351239144,-11.916470618034259,-64.00736832131204
1,Norte,11,Rondônia,1100098,Espigão D'Oeste,110009805,Espigão D'Oeste,24671,2665.105640917298,-11.371844486374602,-60.58894198518841
1,Norte,11,Rondônia,1100098,Espigão D'Oeste,110009810,Boa Vista do Pacarana,1602,750.055173064013,-11.143885243149223,-60.877366294544984
1,Norte,11,Rondônia,1100098,Espigão D'Oeste,110009812,Novo Paraíso,1278,350.12786738737253,-11.347189929207603,-60.9479115434163
1,Norte,11,Rondônia,1100098,Espigão D'Oeste,110009815,Flor da Serra,873,621.8694673308099,-11.31979328219172,-60.82320808676934
1,Norte,11,Rondônia,1100098,Espigão D'Oeste,110009818,Nova Esperança,990,161.51379630301952,-11.520274304586303,-61.136060590231445
1,Norte,11,Rondônia,1100106,Guajará-Mirim,110010605,Guajará-Mirim,35692,21714.47312229991,-11.237819221094917,-64.4554290937216
1,Norte,11,Rondônia,1100106,Guajará-Mirim,110010612,Iata,1610,862.990335279031,-10.556434928244405,-64.98466207328295
1,Norte,11,Rondônia,1100106,Guajará-Mirim,110010622,Surpresa,2085,2687.0320832048465,-11.914771021342082,-64.83450071363215
1,Norte,11,Rondônia,1100114,Jaru,110011405,Jaru,43265,1309.33393403997,-10.478137049474393,-62.54387605106443
1,Norte,11,Rondônia,1100114,Jaru,110011410,Bom Jesus,1747,492.2294999787937,-10.363585973273704,-62.24031647544989
1,Norte,11,Rondônia,1100114,Jaru,110011420,Santa Cruz da Serra,904,349.2482343794771,-10.706791028906714,-62.598563165924006
