CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,CD_DIST,NM_DIST,POP_2022
1,Norte,11,Rondônia,1100015,Alta Floresta D'Oeste,110001505,Alta Floresta D'Oeste,16744
1,Norte,11,Rondônia,1100015,Alta Floresta D'Oeste,110001515,Filadélfia d'Oeste,551
1,Norte,11,Rondônia,1100015,Alta Floresta D'Oeste,110001520,Izidolândia,532
1,Norte,11,Rondônia,1100015,Alta Floresta D'Oeste,110001525,Nova Gease d'Oeste,1175
1,Norte,11,Rondônia,1100015,Alta Floresta D'Oeste,110001530,Rolim de Moura do Guaporé,801
1,Norte,11,Rondônia,1100015,Alta Floresta D'Oeste,110001535,Santo Antônio d'Oeste,1691
1,Norte,11,Rondônia,1100023,Ariquemes,110002305,Ariquemes,96833
1,Norte,11,Rondônia,1100031,Cabixi,110003105,Cabixi,5351
1,Norte,11,Rondônia,1100049,Cacoal,110004905,Cacoal,75267
1,Norte,11,Rondônia,1100049,Cacoal,110004910,Riozinho,11350
1,Norte,11,Rondônia,1100049,Cacoal,110004915,Divinópolis,270
1,Norte,11,Rondônia,1100056,Cerejeiras,110005605,Cerejeiras,15890
1,Norte,11,Rondônia,1100064,Colorado do Oeste,110006405,Colorado do Oeste,15663
1,Norte,11,Rondônia,1100072,Corumbiara,110007205,Corumbiara,7519
1,Norte,11,Rondônia,1100080,Costa Marques,110008005,Costa Marques,8979
1,Norte,11,Rondônia,1100080,Costa Marques,110008015,Real Forte Príncipe da Beira,239
1,Norte,11,Rondônia,1100080,Costa Marques,110008035,São Domingos do Guaporé,3409
1,Norte,11,Rondônia,1100098,Espigão D'Oeste,110009805,Espigão D'Oeste,24671
1,Norte,11,Rondônia,1100098,Espigão D'Oeste,110009810,Boa Vista do Pacarana,1602
1,Norte,11,Rondônia,1100098,Espigão D'Oeste,110009812,Novo Paraíso,1278
1,Norte,11,Rondônia,1100098,Espigão D'Oeste,110009815,Flor da Serra,873
1,Norte,11,Rondônia,1100098,Espigão D'Oeste,110009818,Nova Esperança,990
1,Norte,11,Rondônia,1100106,Guajará-Mirim,110010605,Guajará-Mirim,35692
1,Norte,11,Rondônia,1100106,Guajará-Mirim,110010612,Iata,1610
1,Norte,11,Rondônia,1100106,Guajará-Mirim,110010622,Surpresa,2085
1,Norte,11,Rondônia,1100114,Jaru,110011405,Jaru,43265
1,Norte,11,Rondônia,1100114,Jaru,110011410,Bom Jesus,1747
1,Norte,11,Rondônia,1100114,Jaru,110011420,Santa Cruz da Serra,904
1,Norte,11,Rondônia,1100114,Jaru,110011425,Tarilândia,4675
1,Norte,11,Rondônia,1100122,Ji-Paraná,110012205,Ji-Paraná,120682
1,Norte,11,Rondônia,1100122,Ji-Paraná,110012220,Nova Colina,1108
1,Norte,11,Rondônia,1100122,Ji-Paraná,110012225,Nova Londrina,2543
1,Norte,11,Rondônia,1100130,Machadinho D'Oeste,110013005,Machadinho D'Oeste,25061
1,Norte,11,Rondônia,1100130,Machadinho D'Oeste,110013015,Oriente Novo,2054
1,Norte,11,Rondônia,1100130,Machadinho D'Oeste,110013020,Quinto BEC,2646
1,Norte,11,Rondônia,1100130,Machadinho D'Oeste,110013025,Tabajara,946
1,Norte,11,Rondônia,1100148,Nova Brasilândia D'Oeste,110014805,Nova Brasilândia D'Oeste,15679
1,Norte,11,Rondônia,1100155,Ouro Preto do Oeste,110015505,Ouro Preto do Oeste,32633
1,Norte,11,Rondônia,1100155,Ouro Preto do Oeste,110015525,Rondominas,2411
1,Norte,11,Rondônia,1100189,Pimenta Bueno,110018905,Pimenta Bueno,31265
1,Norte,11,Rondônia,1100189,Pimenta Bueno,110018915,Marco Rondon,2497
1,Norte,11,Rondônia,1100189,Pimenta Bueno,110018920,Itaporanga,1317
1,Norte,11,Rondônia,1100205,Porto Velho,110020505,Porto Velho,412807
1,Norte,11,Rondônia,1100205,Porto Velho,110020510,Abunã,2385
1,Norte,11,Rondônia,1100205,Porto Velho,110020515,Calama,2312
1,Norte,11,Rondônia,1100205,Porto Velho,110020516,Demarcação,845
1,Norte,11,Rondônia,1100205,Porto Velho,110020517,Extrema,7171
1,Norte,11,Rondônia,1100205,Porto Velho,110020518,Fortaleza do Abunã,474
1,Norte,11,Rondônia,1100205,Porto Velho,110020520,Jaci Paraná,11672
1,Norte,11,Rondônia,1100205,Porto Velho,110020525,Mutum Paraná,7509
1,Norte,11,Rondônia,1100205,Porto Velho,110020530,Nazaré,607
1,Norte,11,Rondônia,1100205,Porto Velho,110020535,Nova Califórnia,5216
1,Norte,11,Rondônia,1100205,Porto Velho,110020540,São Carlos,1176
1,Norte,11,Rondônia,1100205,Porto Velho,110020545,Vista Alegre do Abunã,8260
1,Norte,11,Rondônia,1100254,Presidente Médici,110025405,Presidente Médici,12150
1,Norte,11,Rondônia,1100254,Presidente Médici,110025415,Estrela de Rondônia,1915
1,Norte,11,Rondônia,1100254,Presidente Médici,110025420,Novo Riachuelo,1229
1,Norte,11,Rondônia,1100254,Presidente Médici,110025425,Vila Bandeira Branca,1272
1,Norte,11,Rondônia,1100254,Presidente Médici,110025430,Vila Camargo,2761
1,Norte,11,Rondônia,1100262,Rio Crespo,110026205,Rio Crespo,3471
1,Norte,11,Rondônia,1100288,Rolim de Moura,110028805,Rolim de Moura,56406
1,Norte,11,Rondônia,1100296,Santa Luzia D'Oeste,110029605,Santa Luzia D'Oeste,7419
1,Norte,11,Rondônia,1100304,Vilhena,110030405,Vilhena,95832
1,Norte,11,Rondônia,1100320,São Miguel do Guaporé,110032005,São Miguel do Guaporé,18952
1,Norte,11,Rondônia,1100320,São Miguel do Guaporé,110032020,Santana do Guaporé,2683
1,Norte,11,Rondônia,1100338,Nova Mamoré,110033805,Nova Mamoré,10409
1,Norte,11,Rondônia,1100338,Nova Mamoré,110033810,Araras,668
1,Norte,11,Rondônia,1100338,Nova Mamoré,110033812,Jacynópolis,4470
1,Norte,11,Rondônia,1100338,Nova Mamoré,110033815,Nova Dimensão,6169
1,Norte,11,Rondônia,1100338,Nova Mamoré,110033820,Palmeiras,2299
1,Norte,11,Rondônia,1100338,Nova Mamoré,110033825,Nova Marechal Rondon,1429
1,Norte,11,Rondônia,1100346,Alvorada D'Oeste,110034605,Alvorada D'Oeste,10414
1,Norte,11,Rondônia,1100346,Alvorada D'Oeste,110034625,Tancredópolis,1279
1,Norte,11,Rondônia,1100346,Alvorada D'Oeste,110034630,Terra Boa,1424
1,Norte,11,Rondônia,1100379,Alto Alegre dos Parecis,110037905,Alto Alegre dos Parecis,11479
1,Norte,11,Rondônia,1100403,Alto Paraíso,110040305,Alto Paraíso,16320
1,Norte,11,Rondônia,1100452,Buritis,110045205,Buritis,27992
1,Norte,11,Rondônia,1100502,Novo Horizonte do Oeste,110050205,Novo Horizonte do Oeste,4159
1,Norte,11,Rondônia,1100502,Novo Horizonte do Oeste,110050210,Migrantinópolis,3508
1,Norte,11,Rondônia,1100601,Cacaulândia,110060105,Cacaulândia,4150
1,Norte,11,Rondônia,1100700,Campo Novo de Rondônia,110070005,Campo Novo de Rondônia,8844
1,Norte,11,Rondônia,1100809,Candeias do Jamari,110080905,Candeias do Jamari,18938
1,Norte,11,Rondônia,1100809,Candeias do Jamari,110080920,Rio Preto do Candeias,3372
1,Norte,11,Rondônia,1100908,Castanheiras,110090805,Castanheiras,3233
1,Norte,11,Rondônia,1100924,Chupinguaia,110092405,Chupinguaia,9324
1,Norte,11,Rondônia,1100940,Cujubim,110094005,Cujubim,14863
1,Norte,11,Rondônia,1101005,Governador Jorge Teixeira,110100505,Governador Jorge Teixeira,5823
1,Norte,11,Rondônia,1101005,Governador Jorge Teixeira,110100515,Colina Verde,2178
1,Norte,11,Rondônia,1101104,Itapuã do Oeste,110110405,Itapuã do Oeste,8548
1,Norte,11,Rondônia,1101203,Ministro Andreazza,110120305,Ministro Andreazza,6466
1,Norte,11,Rondônia,1101302,Mirante da Serra,110130205,Mirante da Serra,9235
1,Norte,11,Rondônia,1101401,Monte Negro,110140105,Monte Negro,11548
1,Norte,11,Rondônia,1101435,Nova União,110143505,Nova União,6200
1,Norte,11,Rondônia,1101450,Parecis,110145005,Parecis,4125
1,Norte,11,Rondônia,1101468,Pimenteiras do Oeste,110146805,Pimenteiras do Oeste,2156
1,Norte,11,Rondônia,1101476,Primavera de Rondônia,110147605,Primavera de Rondônia,3076
1,Norte,11,Rondônia,1101484,São Felipe D'Oeste,110148405,São Felipe D'Oeste,5258
1,Norte,11,Rondônia,1101492,São Francisco do Guaporé,110149205,São Francisco do Guaporé,13818
1,Norte,11,Rondônia,1101492,São Francisco do Guaporé,110149210,Porto Murtinho,2468
1,Norte,11,Rondônia,1101500,Seringueiras,110150005,Seringueiras,11171
1,Norte,11,Rondônia,1101559,Teixeirópolis,110155905,Teixeirópolis,4256
1,Norte,11,Rondônia,1101609,Theobroma,110160905,Theobroma,8113
1,Norte,11,Rondônia,1101708,Urupá,110170805,Urupá,10725
1,Norte,11,Rondônia,1101757,Vale do Anari,110175705,Vale do Anari,7788
1,Norte,11,Rondônia,1101807,Vale do Paraíso,110180705,Vale do Paraíso,6479
1,Norte,12,Acre,1200013,Acrelândia,120001305,Acrelândia,14021
1,Norte,12,Acre,1200054,Assis Brasil,120005405,Assis Brasil,8100
1,Norte,12,Acre,1200104,Brasiléia,120010405,Brasiléia,26000
